School,Conference,Head coach,First season,W,L,W%,W,L,W%,Offensive coordinator(s),Defensive coordinator(s),Special teams coordinator(s)
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Current,Current,Current,Career DI FBS,Career DI FBS,Career DI FBS,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
Cincinnati Bearcats,The American,Luke Fickell,2017,51,16,.761,57,23,.713,Gino Guidugli,Mike Tressel,Kerry Coombs
East Carolina Pirates,The American,Mike Houston,2019,16,21,.432,16,21,.432,Donnie Kirkpatrick,Blake Harrell,Tim Daoust
Houston Cougars,The American,Dana Holgorsen,2019,21,17,.553,82,58,.586,Shannon Dawson / Brandon Jones,Doug Belk,Mark Scott
Memphis Tigers,The American,Ryan Silverfield,2020,17,11,.607,17,11,.607,Tim Cramsey,Matt Barnes,Charles Bankins
Navy Midshipmen,The American,Ken Niumatalolo,2007,105,76,.580,105,76,.580,Ken Niumatalolo,Brian Newberry,Danny O'Rourke
SMU Mustangs,The American,Rhett Lashlee,2022,2,2,.500,2,2,.500,Casey Woods,Scott Symons,Craig Naivar
South Florida Bulls,The American,Jeff Scott,2020,4,21,.160,4,21,.160,Travis Trickett,Bob Shoop,Daniel Da Prato
Temple Owls,The American,Stan Drayton,2022,2,2,.500,2,2,.500,Danny Langsdorf,D. J. Eliot,Adam Scheier
Tulane Green Wave,The American,Willie Fritz,2016,34,44,.436,51,51,.500,Jim Svoboda,Chris Hampton,Robbie Discher
Tulsa Golden Hurricane,The American,Philip Montgomery,2015,40,48,.455,40,48,.455,Philip Montgomery,Luke Olson,Calvin Lowry
UCF Knights,The American,Gus Malzahn,2021,12,5,.706,89,43,.674,Chip Lindsey,David Gibbs / Travis Williams,Brian Blackmon
Boston College Eagles,ACC,Jeff Hafley,2020,12,14,.462,12,14,.462,John McNulty,Tem Lukabu,Matt Thurin
Clemson Tigers,ACC,Dabo Swinney,2009,136,35,.795,136,35,.795,Brandon Streeter,Mickey Conn / Wes Goodwin,Michael Reed
Duke Blue Devils,ACC,Mike Elko,2022,3,1,.750,3,1,.750,Kevin Johns,Robb Smith,Patrick Dougherty
Florida State Seminoles,ACC,Mike Norvell,2020,12,13,.480,50,28,.641,Alex Atkins,Adam Fuller,John Papuchis
Georgia Tech Yellow Jackets,ACC,Brent Key,2022,0,0,–,0,0,–,Chip Long,Andrew Thacker,Vacant
Louisville Cardinals,ACC,Scott Satterfield,2019,20,21,.488,67,37,.644,Lance Taylor,Bryan Brown / Wes McGriff,Vacant
Miami Hurricanes,ACC,Mario Cristobal,2022,2,2,.500,64,62,.508,Josh Gattis,Kevin Steele / Charlie Strong,Vacant
North Carolina Tar Heels,ACC,Mack Brown,2019[N 1],24,18,.571,262,135,.660,Phil Longo,Gene Chizik / Charlton Warren,Larry Porter
NC State Wolfpack,ACC,Dave Doeren,2013,68,49,.581,91,53,.632,Tim Beck,Tony Gibson,Todd Goebbel
Pittsburgh Panthers,ACC,Pat Narduzzi,2015,56,38,.596,56,38,.596,Frank Cignetti Jr.,Randy Bates,Andre Powell
Syracuse Orange,ACC,Dino Babers,2016,33,43,.434,51,52,.495,Robert Anae,Tony White,Bob Ligashesky
Virginia Cavaliers,ACC,Tony Elliott,2022,2,2,.500,2,2,.500,Des Kitchings,John Rudzinski,Keith Gaither
Virginia Tech Hokies,ACC,Brent Pry,2022,2,2,.500,2,2,.500,Tyler Bowen,Chris Marve,Stu Holt
Wake Forest Demon Deacons,ACC,Dave Clawson,2014,54,49,.524,86,80,.518,Warren Ruggiero,Brad Lambert,Wayne Lineburg
Baylor Bears,Big 12,Dave Aranda,2020,17,10,.630,17,10,.630,Jeff Grimes,Ron Roberts,Ronnie Wheat
Iowa State Cyclones,Big 12,Matt Campbell,2016,45,33,.577,80,48,.625,Tom Manning,Jon Heacock,Vacant
Kansas Jayhawks,Big 12,Lance Leipold,2021,6,10,.375,43,43,.500,Andy Kotelnicki,Brian Borland,Taiwo Onatolu
Kansas State Wildcats,Big 12,Chris Klieman,2019,23,17,.575,23,17,.575,Collin Klein,Joe Klanderman,Vacant
Oklahoma Sooners,Big 12,Brent Venables,2022,3,1,.750,3,1,.750,Jeff Lebby,Todd Bates / Ted Roof / Jay Valai,Jay Nunez
Oklahoma State Cowboys,Big 12,Mike Gundy,2005,152,69,.688,152,69,.688,Kasey Dunn,Derek Mason,John Wozniak
TCU Horned Frogs,Big 12,Sonny Dykes,2022,3,0,1.000,74,63,.540,A.J. Ricker / Garrett Riley,Joseph Gillespie,Mark Tommerdahl
Texas Longhorns,Big 12,Steve Sarkisian,2021,7,9,.438,53,44,.546,Kyle Flood,Jeff Choate / Pete Kwiatkowski,Jeff Banks
Texas Tech Red Raiders,Big 12,Joey McGuire,2022,3,1,.750,3,1,.750,Zach Kittley,Tim DeRuyter,Kenny Perry
West Virginia Mountaineers,Big 12,Neal Brown,2019,19,20,.487,54,36,.600,Graham Harrell,ShaDon Brown / Jordan Lesley,Jeff Koonz
Illinois Fighting Illini,Big Ten,Bret Bielema,2021,8,8,.500,105,66,.614,Barry Lunney Jr.,Ryan Walters,Ben Miller
Indiana Hoosiers,Big Ten,Tom Allen,2017,29,33,.468,29,33,.468,Walt Bell / Adam Henry,Chad Wilt,Kasey Teegardin
Iowa Hawkeyes,Big Ten,Kirk Ferentz,1999,180,111,.619,180,111,.619,Brian Ferentz,Phil Parker,LeVar Woods
Maryland Terrapins,Big Ten,Mike Locksley,2019,15,24,.385,17,50,.254,Dan Enos / Mike Miller,Brian Williams,James Thomas Jr.
Michigan Wolverines,Big Ten,Jim Harbaugh,2015,65,24,.730,94,45,.676,Sherrone Moore / Matt Weiss,Jesse Minter,Jay Harbaugh
Michigan State Spartans,Big Ten,Mel Tucker,2020,15,9,.625,20,16,.556,Jay Johnson,Scottie Hazelton,Ross Els
Minnesota Golden Gophers,Big Ten,P. J. Fleck,2017,39,23,.629,69,45,.605,Kirk Ciarrocca / Matt Simon,Paul Haynes / Joe Rossi,Rob Wenger
Nebraska Cornhuskers,Big Ten,Mickey Joseph,2022,0,1,.000,0,1,.000,Mark Whipple,Bill Busch,Bill Busch
Northwestern Wildcats,Big Ten,Pat Fitzgerald,2006,110,92,.545,110,92,.545,Mike Bajakian,Jim O'Neil,Jeff Genyk
Ohio State Buckeyes,Big Ten,Ryan Day,2019,38,4,.905,38,4,.905,Kevin Wilson,Jim Knowles,Parker Fleming
Penn State Nittany Lions,Big Ten,James Franklin,2014,70,34,.673,94,49,.657,Mike Yurcich,Manny Diaz / Anthony Poindexter,Stacy Collins
Purdue Boilermakers,Big Ten,Jeff Brohm,2017,30,31,.492,59,41,.590,Brian Brohm,Ron English / Mark Hagen,Karl Maslowski
Rutgers Scarlet Knights,Big Ten,Greg Schiano,2020[N 2],11,15,.423,79,82,.491,Sean Gleeson,Joe Harasymiak,Vacant
Wisconsin Badgers,Big Ten,Paul Chryst,2015,67,25,.728,86,44,.662,Bobby Engram,Jim Leonhard,Chris Haering
Charlotte 49ers,C-USA,Will Healy,2019,15,21,.417,15,21,.417,Mark Carney,Greg Brown,Tyler Hancock
Florida Atlantic Owls,C-USA,Willie Taggart,2020,12,14,.462,69,75,.479,Brent Dearmon,Todd Orlando,Chad Lunsford
Florida International Panthers,C-USA,Mike MacIntyre,2022,1,2,.333,47,67,.412,David Yost,Jovan Dewitt,Ricky Brumfield
Louisiana Tech Bulldogs,C-USA,Sonny Cumbie,2022,1,3,.250,2,6,.250,Jake Brown / Scott Parr,Scott Power,Dan Sharp
